,precision,recall,f1-score,support,accuracy
0,0.978,0.988,0.983,402.0,0.977
1,0.976,0.963,0.969,295.0,0.977
2,0.977,0.977,0.977,87.0,0.977
3,1.0,1.0,1.0,8.0,0.977
accuracy,0.977,0.977,0.977,0.977,0.977
macro avg,0.983,0.982,0.982,792.0,0.977
weighted avg,0.977,0.977,0.977,792.0,0.977
