,precision,recall,f1-score,support,accuracy
0,0.976,0.993,0.984,402.0,0.981
1,0.99,0.959,0.974,295.0,0.981
2,0.978,1.0,0.989,87.0,0.981
3,1.0,1.0,1.0,8.0,0.981
accuracy,0.981,0.981,0.981,0.981,0.981
macro avg,0.986,0.988,0.987,792.0,0.981
weighted avg,0.981,0.981,0.981,792.0,0.981
