,precision,recall,f1-score,support,accuracy
0,0.924,0.998,0.959,402.0,0.837
1,0.749,0.888,0.812,295.0,0.837
2,0.0,0.0,0.0,87.0,0.837
3,0.0,0.0,0.0,8.0,0.837
accuracy,0.837,0.837,0.837,0.837,0.837
macro avg,0.418,0.471,0.443,792.0,0.837
weighted avg,0.748,0.837,0.79,792.0,0.837
