,precision,recall,f1-score,support,accuracy
0,0.973,0.99,0.982,402.0,0.977
1,0.983,0.956,0.969,295.0,0.977
2,0.977,0.989,0.983,87.0,0.977
3,1.0,1.0,1.0,8.0,0.977
accuracy,0.977,0.977,0.977,0.977,0.977
macro avg,0.983,0.984,0.983,792.0,0.977
weighted avg,0.977,0.977,0.977,792.0,0.977
